,Rk,NAME,Pos,Age,TEAM_Regular,GP_Regular,MPG_Regular,FG,FGA,FG%,3P,3PA_Regular,3P%_Regular,2P,2PA_Regular,2P%_Regular,eFG%_Regular,FT,FTA_Regular,FT%_Regular,ORB,RPG_Regular,TRB,APG_Regular,SPG_Regular,BPG_Regular,TPG_Regular,PF,PPG_Regular,RANK,TEAM_Playoffs,POS,AGE,GP_Playoffs,MPG_Playoffs,USG%,TO%,FTA_Playoffs,FT%_Playoffs,2PA_Playoffs,2P%_Playoffs,3PA_Playoffs,3P%_Playoffs,eFG%_Playoffs,TS%,PPG_Playoffs,RPG_Playoffs,APG_Playoffs,SPG_Playoffs,BPG_Playoffs,TPG_Playoffs,P+R,P+A,P+R+A,VI,ORtg,DRtg
99,283,Luke Kornet,C,28,BOS,63,15.6,2.3,3.2,0.7,0.0,0.0,1.0,2.2,3.2,0.698,0.702,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1.0,0.3,1.2,5.3,134,Bos,C-F,28.9,11,11.0,12.2,22.8,13,0.846,20,0.7,0,0.0,0.7,0.758,3.5,3.6,0.5,0.1,0.5,0.5,7.2,4.0,7.6,6.7,143.7,105.6
100,290,A.J. Lawson,SG,23,DAL,42,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1.0,1.7,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,179,Dal,G,23.9,8,2.4,18.5,0.0,2,0.5,1,1.0,6,0.333,0.571,0.571,1.1,0.4,0.0,0.0,0.1,0.0,1.5,1.1,1.5,0.0,0.0,0.0
101,293,Kawhi Leonard,SF,32,LAC,68,34.3,9.0,17.1,0.525,2.1,4.9,0.417,6.9,12.1,0.569,0.585,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.6,0.9,1.8,1.4,23.7,61,Lac,F,33.0,2,29.8,22.5,14.1,3,0.667,19,0.579,5,0.0,0.458,0.474,12.0,8.0,2.0,2.0,0.5,2.0,20.0,14.0,22.0,7.7,94.0,109.1
102,294,Caris LeVert,SG,29,CLE,68,28.8,5.1,12.1,0.421,1.6,4.9,0.325,3.5,7.2,0.486,0.487,2.3,3.0,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,14.0,71,Cle,G,29.8,11,25.3,21.3,12.0,26,0.654,69,0.551,33,0.182,0.461,0.489,10.1,3.6,2.3,0.8,0.5,1.3,13.7,12.4,16.0,6.9,99.4,111.7
103,297,E.J. Liddell,PF,23,NOP,8,2.9,0.1,0.8,0.167,0.0,0.6,0.0,0.1,0.1,1.0,0.167,0.3,0.3,1.0,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,203,Nor,F,23.5,1,2.5,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
104,298,Damian Lillard,PG,33,MIL,73,35.3,7.4,17.5,0.424,3.0,8.5,0.354,4.4,9.0,0.49,0.51,6.5,7.0,0.92,0.5,3.9,4.4,7.0,1.0,0.2,2.6,1.8,24.3,3,Mil,G,33.9,4,39.1,31.4,10.0,38,0.974,33,0.424,48,0.417,0.543,0.64,31.3,3.3,5.0,1.0,0.0,2.3,34.5,36.3,39.5,8.2,127.6,115.7
105,299,Nassir Little,SF,23,PHO,45,10.2,1.3,2.8,0.46,0.5,1.6,0.3,0.8,1.2,0.667,0.544,0.4,0.4,0.85,0.3,1.4,1.7,0.5,0.2,0.2,0.3,0.9,3.4,159,Pho,F-G,24.3,4,3.4,17.2,0.0,0,0.0,2,1.0,3,0.333,0.7,0.7,1.8,0.3,0.0,0.0,0.0,0.0,2.0,1.8,2.0,0.0,0.0,0.0
106,300,Dereck Lively II,C,19,DAL,55,23.5,4.0,5.4,0.747,0.0,0.0,0.0,4.0,5.3,0.752,0.747,0.7,1.5,0.506,2.5,4.4,6.9,1.1,0.7,1.4,0.9,2.6,8.8,86,Dal,C,20.3,19,21.9,14.5,18.5,57,0.596,88,0.67,0,0.0,0.67,0.672,8.0,7.4,1.4,0.4,1.0,1.1,15.4,9.4,16.8,8.0,131.3,105.2
107,302,Chris Livingston,SF,20,MIL,21,4.3,0.5,1.0,0.5,0.0,0.2,0.2,0.5,0.8,0.588,0.523,0.1,0.2,0.75,0.1,0.9,1.0,0.2,0.1,0.0,0.2,0.7,1.2,183,Mil,F,20.7,2,3.1,17.2,0.0,3,0.0,1,1.0,0,0.0,1.0,0.431,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
108,305,Brook Lopez,C,35,MIL,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1.0,2.4,12.5,30,Mil,C,36.2,6,33.4,20.8,10.7,15,0.533,52,0.654,23,0.435,0.653,0.65,17.7,4.3,1.8,0.0,1.3,1.5,22.0,19.5,23.8,6.2,121.3,117.2
